id;locale;key;valueEn;value;isPublic;
550e8400-e29b-41d4-a716-100000000000;en;AUTH.GREETINGS;Greetings fellow, Honkler!;Greetings fellow, Honkler!;1;
550e8400-e29b-41d4-a716-100000000001;en;AUTH.FORGOT_PASSWORD;Forgot password;Forgot password;1;
550e8400-e29b-41d4-a716-100000000002;en;AUTH.LETS_HONK;Let''s Honk!;Let''s Honk!;1;
550e8400-e29b-41d4-a716-100000000003;en;AUTH.BECOME_HONKLER;Become a Honkler!;Become a Honkler!;1;
550e8400-e29b-41d4-a716-100000000004;en;AUTH.BACK_TO_LOGIN;Back to login;Back to login;1;
550e8400-e29b-41d4-a716-100000000005;en;AUTH.LOGIN;Login;Login;1;
550e8400-e29b-41d4-a716-100000000006;en;AUTH.EMAIL;Email;Email;1;
550e8400-e29b-41d4-a716-100000000007;en;AUTH.BROKEN_HONKLER;Broken Honkler;Broken Honkler;1;
550e8400-e29b-41d4-a716-100000000008;en;AUTH.COUNTRY;Country;Country;1;
550e8400-e29b-41d4-a716-100000000009;en;AUTH.EMAIL_AGAIN;Email again please;Email again please;1;
550e8400-e29b-41d4-a716-100000000010;en;AUTH.PASSWORD;Password;Password;1;
550e8400-e29b-41d4-a716-100000000011;en;AUTH.CONFIRM_PASSWORD;Confirm your password;Confirm your password;1;
550e8400-e29b-41d4-a716-100000000012;en;AUTH.FULL_NAME;Full name;Full name;1;
550e8400-e29b-41d4-a716-100000000013;en;AUTH.TODAYS_DATE;Today''s date;Today''s date;1;
550e8400-e29b-41d4-a716-100000000014;en;AUTH.REMEMBER_ME;Remember me;Remember me;1;
550e8400-e29b-41d4-a716-100000000015;en;AUTH.RESET_HONK;Reset honk;Reset honk;1;
550e8400-e29b-41d4-a716-100000000016;en;AUTH.RESET_YOUR_HONK;Reset your Honk!;Reset your Honk!;1;
550e8400-e29b-41d4-a716-100000000017;en;PAGE_NOT_FOUND.PAGE_NOT_FOUND;Oops! Page not found.;Oops! Page not found.;1;
550e8400-e29b-41d4-a716-100000000018;en;PAGE_NOT_FOUND.PAGE_UNAVAILABLE;Sorry, the page you are looking for might have been removed or is temporarily unavailable.;Sorry, the page you are looking for might have been removed or is temporarily unavailable.;1;
550e8400-e29b-41d4-a716-100000000019;en;AUTH.NEW_PASSWORD;New password;New password;1;
550e8400-e29b-41d4-a716-100000000020;en;AUTH.NO_COMPLAINTS;I have no complaints about the site and will not have in the future;I have no complaints about the site and will not have in the future;1;
550e8400-e29b-41d4-a716-100000000021;en;SELECT.NO_OPTIONS;No options;No options;1;
550e8400-e29b-41d4-a716-100000000022;en;SELECT.SELECT_OPTION;Select an option;Select an option;1;
550e8400-e29b-41d4-a716-100000000023;en;PAGINATOR.SELECT_PAGE;Select page.;Select page.;1;
550e8400-e29b-41d4-a716-100000000024;en;FOOTER.HONKING_SINCE;We have been honking since 2024.;We have been honking since 2024.;1;
550e8400-e29b-41d4-a716-100000000025;en;USER.MENU.NOTIFICATIONS;Notifications;Notifications;0;
550e8400-e29b-41d4-a716-100000000026;en;USER.MENU.SETTINGS;Settings;Settings;0;
550e8400-e29b-41d4-a716-100000000027;en;USER.MENU.LOGOUT;Logout;Logout;0;
550e8400-e29b-41d4-a716-100000000028;en;COMMON.STATUS;Status;Status;0;
550e8400-e29b-41d4-a716-100000000029;en;COMMON.SCORE;Score;Score;0;
550e8400-e29b-41d4-a716-100000000030;en;COMMON.LOCATION;Location;Location;1;
550e8400-e29b-41d4-a716-100000000031;en;COMMON.FILTER.SEARCH;Search;Search;1;
550e8400-e29b-41d4-a716-100000000032;en;COMMON.ID;ID;ID;0;
550e8400-e29b-41d4-a716-100000000033;en;COMMON.CREATED;Created;Created;0;
550e8400-e29b-41d4-a716-100000000034;en;COMMON.UPDATED;Updated;Updated;0;
550e8400-e29b-41d4-a716-100000000035;en;COMMON.NAME;Name;Name;0;
550e8400-e29b-41d4-a716-100000000036;en;COMMON.EMAIL;Email;Email;0;
550e8400-e29b-41d4-a716-100000000037;en;COMMON.LINK;Link;Link;0;
550e8400-e29b-41d4-a716-100000000038;en;COMMON.TITLE;Title;Title;0;
550e8400-e29b-41d4-a716-100000000039;en;COMMON.COMPANY;Company;Company;0;
550e8400-e29b-41d4-a716-100000000040;en;COMMON.HR;Human Resources;Human Resources;0;
550e8400-e29b-41d4-a716-100000000041;en;PAGINATOR.ITEMS_PER_PAGE;Items per page;Items per page;0;
550e8400-e29b-41d4-a716-100000000042;en;COMMON.FILTER.RESET_FILTERS;Reset filters;Reset filters;1;
550e8400-e29b-41d4-a716-100000000043;en;FILTER.ZERO_ITEMS;There are zero items following your filter''s request;There are zero items following your filter''s request;0;
550e8400-e29b-41d4-a716-100000000045;en;ERROR.GENERIC;An error occurred. Please try again.;An error occurred. Please try again.;1;
550e8400-e29b-41d4-a716-100000000046;en;ERROR.FORM_VALIDATION;Double-check the completed form, correct any errors and try again to continue.;Double-check the completed form, correct any errors and try again to continue.;1;
550e8400-e29b-41d4-a716-100000000047;en;PAGE_UNDER_DEVELOPMENT.OOPS;Oops! This page is under development.;Oops! This page is under development.;1;
550e8400-e29b-41d4-a716-100000000048;en;PAGE_UNDER_DEVELOPMENT.SORRY;Sorry, the page you are looking for is currently under development.;Sorry, the page you are looking for is currently under development.;1;
550e8400-e29b-41d4-a716-100000000049;en;MENU.HOME;Home;Home;0;
550e8400-e29b-41d4-a716-100000000050;en;MENU.VACANCIES;Vacancies;Vacancies;0;
550e8400-e29b-41d4-a716-100000000051;en;MENU.PROFILE;Profile;Profile;0;
550e8400-e29b-41d4-a716-100000000052;en;MENU.SETTINGS;Settings;Settings;0;
550e8400-e29b-41d4-a716-100000000053;en;COMMON.ACTIVE;Active;Active;0;
550e8400-e29b-41d4-a716-100000000054;en;DATEPICKER.DATE_RANGE;Date range;Date range;1;
550e8400-e29b-41d4-a716-100000000055;en;DATEPICKER.DATE;Date;Date;1;
