id;locale;key;valueEn;value;isPublic;
550e8400-e29b-41d4-a716-700000000000;it;AUTH.GREETINGS;Greetings fellow, Honkler!;Saluti, Honkler!;1;
550e8400-e29b-41d4-a716-700000000001;it;AUTH.FORGOT_PASSWORD;Forgot password;Password dimenticata;1;
550e8400-e29b-41d4-a716-700000000002;it;AUTH.LETS_HONK;Let''s Honk!;Suoniamo!;1;
550e8400-e29b-41d4-a716-700000000003;it;AUTH.BECOME_HONKLER;Become a Honkler!;Diventa un Honkler!;1;
550e8400-e29b-41d4-a716-700000000004;it;AUTH.BACK_TO_LOGIN;Back to login;Torna al login;1;
550e8400-e29b-41d4-a716-700000000005;it;AUTH.LOGIN;Login;Accesso;1;
550e8400-e29b-41d4-a716-700000000006;it;AUTH.EMAIL;Email;Email;1;
550e8400-e29b-41d4-a716-700000000007;it;AUTH.BROKEN_HONKLER;Broken Honkler;Honkler rotto;1;
550e8400-e29b-41d4-a716-700000000008;it;AUTH.COUNTRY;Country;Paese;1;
550e8400-e29b-41d4-a716-700000000009;it;AUTH.EMAIL_AGAIN;Email again please;Email di nuovo, per favore;1;
550e8400-e29b-41d4-a716-700000000010;it;AUTH.PASSWORD;Password;Password;1;
550e8400-e29b-41d4-a716-700000000011;it;AUTH.CONFIRM_PASSWORD;Confirm your password;Conferma la tua password;1;
550e8400-e29b-41d4-a716-700000000012;it;AUTH.FULL_NAME;Full name;Nome completo;1;
550e8400-e29b-41d4-a716-700000000013;it;AUTH.TODAYS_DATE;Today''s date;Data di oggi;1;
550e8400-e29b-41d4-a716-700000000014;it;AUTH.REMEMBER_ME;Remember me;Ricordati di me;1;
550e8400-e29b-41d4-a716-700000000015;it;AUTH.RESET_HONK;Reset honk;Reimposta honk;1;
550e8400-e29b-41d4-a716-700000000016;it;AUTH.RESET_YOUR_HONK;Reset your Honk!;Reimposta il tuo honk!;1;
550e8400-e29b-41d4-a716-700000000017;it;PAGE_NOT_FOUND.PAGE_NOT_FOUND;Oops! Page not found.;Ops! Pagina non trovata.;1;
550e8400-e29b-41d4-a716-700000000018;it;PAGE_NOT_FOUND.PAGE_UNAVAILABLE;Sorry, the page you are looking for might have been removed or is temporarily unavailable.;Spiacente, la pagina che stai cercando potrebbe essere stata rimossa o è temporaneamente non disponibile.;1;
550e8400-e29b-41d4-a716-700000000019;it;AUTH.NEW_PASSWORD;New password;Nuova password;1;
550e8400-e29b-41d4-a716-700000000020;it;AUTH.NO_COMPLAINTS;I have no complaints about the site and will not have in the future;Non ho lamentele sul sito e non ne avrò in futuro;1;
550e8400-e29b-41d4-a716-700000000021;it;SELECT.NO_OPTIONS;No options;Nessuna opzione;1;
550e8400-e29b-41d4-a716-700000000022;it;SELECT.SELECT_OPTION;Select an option;Seleziona un''opzione;1;
550e8400-e29b-41d4-a716-700000000023;it;PAGINATOR.SELECT_PAGE;Select page.;Seleziona pagina.;1;
550e8400-e29b-41d4-a716-700000000024;it;FOOTER.HONKING_SINCE;We have been honking since 2024.;Stiamo suonando dal 2024.;1;
550e8400-e29b-41d4-a716-700000000025;it;USER.MENU.NOTIFICATIONS;Notifications;Notifiche;0;
550e8400-e29b-41d4-a716-700000000026;it;USER.MENU.SETTINGS;Settings;Impostazioni;0;
550e8400-e29b-41d4-a716-700000000027;it;USER.MENU.LOGOUT;Logout;Disconnettersi;0;
550e8400-e29b-41d4-a716-700000000028;it;COMMON.STATUS;Status;Stato;0;
550e8400-e29b-41d4-a716-700000000029;it;COMMON.SCORE;Score;Punteggio;0;
550e8400-e29b-41d4-a716-700000000030;it;COMMON.LOCATION;Location;Posizione;1;
550e8400-e29b-41d4-a716-700000000031;it;COMMON.FILTER.SEARCH;Search;Cerca;1;
550e8400-e29b-41d4-a716-700000000032;it;COMMON.ID;ID;ID;0;
550e8400-e29b-41d4-a716-700000000033;it;COMMON.CREATED;Created;Creato;0;
550e8400-e29b-41d4-a716-700000000034;it;COMMON.UPDATED;Updated;Aggiornato;0;
550e8400-e29b-41d4-a716-700000000035;it;COMMON.NAME;Name;Nome;0;
550e8400-e29b-41d4-a716-700000000036;it;COMMON.EMAIL;Email;Email;0;
550e8400-e29b-41d4-a716-700000000037;it;COMMON.LINK;Link;Link;0;
550e8400-e29b-41d4-a716-700000000038;it;COMMON.TITLE;Title;Titolo;0;
550e8400-e29b-41d4-a716-700000000039;it;COMMON.COMPANY;Company;Azienda;0;
550e8400-e29b-41d4-a716-700000000040;it;COMMON.HR;Human Resources;Risorse umane;0;
550e8400-e29b-41d4-a716-700000000041;it;PAGINATOR.ITEMS_PER_PAGE;Items per page;Elementi per pagina;0;
550e8400-e29b-41d4-a716-700000000042;it;COMMON.FILTER.RESET_FILTERS;Reset filters;Reimposta filtri;1;
550e8400-e29b-41d4-a716-700000000043;it;FILTER.ZERO_ITEMS;There are zero items following your filter''s request;Non ci sono elementi che corrispondono alla tua richiesta di filtro;0;
550e8400-e29b-41d4-a716-700000000045;it;ERROR.GENERIC;An error occurred. Please try again.;Si è verificato un errore. Per favore riprova.;1;
550e8400-e29b-41d4-a716-700000000046;it;ERROR.FORM_VALIDATION;Double-check the completed form, correct any errors and try again to continue.;Ricontrolla il modulo compilato, correggi eventuali errori e riprova per continuare.;1;
550e8400-e29b-41d4-a716-700000000047;it;PAGE_UNDER_DEVELOPMENT.OOPS;Oops! This page is under development.;Ops! Questa pagina è in fase di sviluppo.;1;
550e8400-e29b-41d4-a716-700000000048;it;PAGE_UNDER_DEVELOPMENT.SORRY;Sorry, the page you are looking for is currently under development.;Spiacente, la pagina che stai cercando è attualmente in fase di sviluppo.;1;
550e8400-e29b-41d4-a716-700000000049;it;MENU.HOME;Home;Home;0;
550e8400-e29b-41d4-a716-700000000050;it;MENU.VACANCIES;Vacancies;Offerte di lavoro;0;
550e8400-e29b-41d4-a716-700000000051;it;MENU.PROFILE;Profile;Profilo;0;
550e8400-e29b-41d4-a716-700000000052;it;MENU.SETTINGS;Settings;Impostazioni;0;
550e8400-e29b-41d4-a716-700000000053;it;COMMON.ACTIVE;Active;Attivo;0;
550e8400-e29b-41d4-a716-700000000054;it;DATEPICKER.DATE_RANGE;Date range;Intervallo di date;1;
550e8400-e29b-41d4-a716-700000000055;it;DATEPICKER.DATE;Date;Data;1;
